"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","18.4","929917600","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","85.65","60027374250","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"SVN","7 Days Group Holdings Limited","13.06","242276060","n/a","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/svn",
"AHC","A.H. Belo Corporation","5.38","103172260","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","21.26","856437840","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron's,  Inc.","25.42","1919794660","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","21.14","4115429500","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","55.76","86862704960","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ANF","Abercrombie & Fitch Company","44.51","3826124110","n/a","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"ABH","AbitibiBowater Inc.","14.91","1447596990","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/abh",
"ABM","ABM Industries Incorporated","21.17","1129504180","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ABVT","Abovenet Inc","65.89","1701411580","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/abvt",
"AKR","Acadia Realty Trust","20.12","811520080","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","55.81","36120734290","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ABD","Acco Brands Corporation","9.97","552786650","n/a","1987","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/abd",
"AH","Accretive Health, Inc.","26.05","2558474700","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ah",
"ACW","Accuride Corporation New","7.07","334319090","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","72.67","24504832690","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","4.26","67572120","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","24.47","1667508150","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","57.12","2405151840","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","10.31","916765200","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","9.31","1117842390","n/a","1994","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","70.5","359338500","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"AEA","Advance America, Cash Advance Centers, Inc.","7.89","492620040","n/a","2004","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/aea",
"AAP","Advance Auto Parts Inc","74.75","5415338500","n/a","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AMD","Advanced Micro Devices, Inc.","6.42","4474245660","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","5.17","450808490","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","3.45","566117400","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","9.88","10561720","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AGC","Advent Claymore Convertible Securities and Income Fund","6.62","213435420","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"AVK","Advent Claymore Convertible Securities and Income Fund","16.04","378239240","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
